kanji,meanings,kun,on,level
典,"code,ceremony,law,rule",うつわ,"テン,デン",n1
展,"unfold,expand",うつわ,テン,n1
攻,"aggression,attack,criticize,polish",せ.める,コウ,n1
豆,"beans,pea,midget","まめ,まめ-","トウ,ズ",n1
盛,"boom,prosper,copulate","も.る,さか.る,さか.ん","セイ,ジョウ",n1
督,"coach,command,urge,lead,supervise","も.る,さか.る,さか.ん",トク,n1
催,"sponsor,hold (a meeting),give (a dinner)","もよう.す,もよお.す",サイ,n1
縄,"straw rope,cord","なわ,ただ.す",ジョウ,n1
皇,emperor,"なわ,ただ.す","コウ,オウ",n1
臨,"look to,face,meet,confront,attend,call on",のぞ.む,リン,n1
及,"reach out,exert,exercise,cause","およ.ぶ,およ.び,および,およ.ぼす",キュウ,n1
帳,"notebook,account book,album,curtain,veil,net,tent",とばり,チョウ,n1
熊,bear,くま,ユウ,n1
源,"source,origin",みなもと,ゲン,n1
離,"detach,separation,disjoin,digress","はな.れる,はな.す",リ,n1
創,"genesis,wound,injury,hurt,start,originate","つく.る,はじ.める,きず,けず.しける","ソウ,ショウ",n1
障,"hinder,hurt,harm",さわ.る,ショウ,n1
倉,"godown,warehouse,storehouse,cellar,treasury",くら,ソウ,n1
筋,"muscle,sinew,tendon,fiber,plot,plan,descent",すじ,キン,n1
唱,"chant,recite,call upon,yell",とな.える,ショウ,n1
摘,"pinch,pick,pluck,trim,clip,summarize",つ.む,テキ,n1
評,"evaluate,criticism,comment",つ.む,ヒョウ,n1
郎,"son,counter for sons",おとこ,"ロウ,リョウ",n1
属,"belong,genus,subordinate official,affiliated","さかん,つく,やから","ゾク,ショク",n1
健,"healthy,health,strength,persistence",すこ.やか,ケン,n1
級,"class,rank,grade",すこ.やか,キュウ,n1
旗,"national flag,banner,standard",はた,キ,n1
潟,lagoon,"かた,-がた",セキ,n1
製,"made in...,manufacture","かた,-がた",セイ,n1
災,"disaster,calamity,woe,curse,evil",わざわ.い,サイ,n1
密,"secrecy,density (pop),minuteness,carefulness",ひそ.か,ミツ,n1
振,"shake,wave,wag,swing","ふ.る,ふ.れる,ふ.るう",シン,n1
梅,plum,うめ,バイ,n1
我,"ego,I,selfish,our,oneself","われ,わ,わ.が-,わが-",ガ,n1
幕,"curtain,bunting,act of play",とばり,"マク,バク",n1
染,"dye,color,paint,stain,print","そ.める,そ.まる,し.みる,し.み",セン,n1
銭,"coin,.01 yen,money","ぜに,すき","セン,ゼン",n1
傷,"wound,hurt,injure,impair,pain,injury,cut,gash,scar,weak point","きず,いた.む,いた.める",ショウ,n1
献,"offering,counter for drinks,present,offer",たてまつ.る,"ケン,コン",n1
謝,"apologize,thank,refuse",あやま.る,シャ,n1
維,"fiber,tie,rope",あやま.る,イ,n1
浜,"seacoast,beach,seashore",はま,ヒン,n1
秘,"secret,conceal","ひ.める,ひそ.か,かく.す",ヒ,n1
塁,"bases,fort,rampart,walls,base(ball)",とりで,"ルイ,ライ,スイ",n1
邦,"home country,country,Japan",くに,ホウ,n1
賀,"congratulations,joy",くに,ガ,n1
遣,"dispatch,despatch,send,give,donate,do,undertake","つか.う,-つか.い,-づか.い,つか.わす,や.る",ケン,n1
梨,pear tree,なし,リ,n1
抗,"confront,resist,defy,oppose",あらが.う,コウ,n1
授,"impart,instruct,grant,confer","さず.ける,さず.かる",ジュ,n1
雄,"masculine,male,hero,leader,superiority,excellence","お-,おす,おん",ユウ,n1
緊,"tense,solid,hard,reliable,tight","し.める,し.まる",キン,n1
牧,"breed,care for,shepherd,feed,pasture",まき,ボク,n1
縮,"shrink,contract,shrivel,wrinkle,reduce","ちぢ.む,ちぢ.まる,ちぢ.める,ちぢ.れる,ちぢ.らす",シュク,n1
徳,"benevolence,virtue,goodness,commanding respect","ちぢ.む,ちぢ.まる,ちぢ.める,ちぢ.れる,ちぢ.らす",トク,n1
標,"signpost,seal,mark,stamp,imprint,symbol,emblem,trademark,evidence,souvenir,target","しるべ,しるし",ヒョウ,n1
羊,sheep,ひつじ,ヨウ,n1
廃,"abolish,obsolete,cessation,discarding,abandon","すた.れる,すた.る",ハイ,n1
射,"shoot,shine into,onto,archery","い.る,さ.す,う.つ",シャ,n1
江,"creek,inlet,bay",え,コウ,n1
僚,"colleague,official,companion",え,リョウ,n1
揮,"brandish,wave,wag,swing,shake",ふる.う,キ,n1
吉,"good luck,joy,congratulations",よし,"キチ,キツ",n1
岐,"branch off,fork in road,scene,arena,theater",よし,"キ,ギ",n1
径,"diameter,path,method","みち,こみち,さしわたし,ただちに",ケイ,n1
笛,"flute,clarinet,pipe,whistle,bagpipe,piccolo",ふえ,テキ,n1
踏,"step,trample,carry through,appraise,evade payment","ふ.む,ふ.まえる",トウ,n1
序,"preface,beginning,order,precedence,occasion,chance,incidentally","つい.で,ついで",ジョ,n1
壊,"demolition,break,destroy","こわ.す,こわ.れる,やぶ.る","カイ,エ",n1
貴,"precious,value,prize,esteem,honor","たっと.い,とうと.い,たっと.ぶ,とうと.ぶ",キ,n1
債,"bond,loan,debt","たっと.い,とうと.い,たっと.ぶ,とうと.ぶ",サイ,n1
舎,"cottage,inn,hut,house,mansion",やど.る,"シャ,セキ",n1
脈,"vein,pulse,hope",すじ,ミャク,n1
儀,"ceremony,rule,affair,case,a matter",すじ,ギ,n1
納,"settlement,obtain,reap,pay,supply,store","おさ.める,-おさ.める,おさ.まる","ノウ,ナッ,ナ,ナン,トウ",n1
樹,"timber,trees,wood,establish,set up",き,ジュ,n1
継,"inherit,succeed,continue,patch,graft (tree)","つ.ぐ,まま-",ケイ,n1
至,"climax,arrive,proceed,reach,attain,result in",いた.る,シ,n1
宗,"religion,sect,denomination,main point,origin,essence",むね,"シュウ,ソウ",n1
闘,"fight,war","たたか.う,あらそ.う",トウ,n1
鏡,"mirror,speculum,barrel-head,round rice-cake offering",かがみ,"キョウ,ケイ",n1
敵,"enemy,foe,opponent","かたき,あだ,かな.う",テキ,n1
修,"discipline,conduct oneself well,study,master","おさ.める,おさ.まる","シュウ,シュ",n1
葬,"interment,bury,shelve",ほうむ.る,ソウ,n1
避,"evade,avoid,avert,ward off,shirk,shun","さ.ける,よ.ける",ヒ,n1
司,"director,official,govt office,rule,administer",つかさど.る,シ,n1
康,"ease,peace",つかさど.る,コウ,n1
酸,"acid,bitterness,sour,tart",す.い,サン,n1
故,"happenstance,especially,intentionally,reason,cause,circumstances,the late,therefore,consequently","ゆえ,ふる.い,もと",コ,n1
逮,"apprehend,chase","ゆえ,ふる.い,もと",タイ,n1
誕,"nativity,be born,declension,lie,be arbitrary","ゆえ,ふる.い,もと",タン,n1
迫,"urge,force,imminent,spur on",せま.る,ハク,n1
桜,cherry,さくら,"オウ,ヨウ",n1
惑,"beguile,delusion,perplexity",まど.う,ワク,n1
句,"phrase,clause,sentence,passage,paragraph,counter for haiku",まど.う,ク,n1
崩,"crumble,die,demolish,level","くず.れる,-くず.れ,くず.す",ホウ,n1
聴,"listen,headstrong,naughty,careful inquiry","き.く,ゆる.す","チョウ,テイ",n1
滋,"nourishing,more & more,be luxuriant,planting,turbidity","き.く,ゆる.す","ジ,シ",n1
脱,"undress,removing,escape from,get rid of,be left out,take off","ぬ.ぐ,ぬ.げる",ダツ,n1
訳,"translate,reason,circumstance,case",わけ,ヤク,n1
伊,"Italy,that one",かれ,イ,n1
巣,"nest,rookery,hive,cobweb,den","す,す.くう",ソウ,n1
