kanji,meanings,kun,on,level
弘,"vast,broad,wide",ひろ.い,"コウ,グ",n1
雅,"gracious,elegant,graceful,refined",みや.び,ガ,n1
飾,"decorate,ornament,adorn,embellish","かざ.る,かざ.り",ショク,n1
班,"squad,corps,unit,group","かざ.る,かざ.り",ハン,n1
網,"netting,network",あみ,モウ,n1
竜,"dragon,imperial","たつ,いせ","リュウ,リョウ,ロウ",n1
繁,"luxuriant,thick,overgrown,frequency,complexity,trouble","しげ.る,しげ.く",ハン,n1
翼,"wing,plane,flank",つばさ,ヨク,n1
魅,"fascination,charm,bewitch",つばさ,ミ,n1
嫌,"dislike,detest,hate","きら.う,きら.い,いや","ケン,ゲン",n1
斉,"adjusted,alike,equal,similar variety of","そろ.う,ひと.しい,ひと.しく,あたる,はやい","セイ,サイ",n1
敷,"spread,pave,sit,promulgate","し.く,-し.き",フ,n1
擁,"hug,embrace,possess,protect,lead","し.く,-し.き",ヨウ,n1
圏,"sphere,circle,radius,range",かこ.い,ケン,n1
罰,"penalty,punishment",ばっ.する,"バツ,バチ,ハツ",n1
滅,"destroy,ruin,overthrow,perish","ほろ.びる,ほろ.ぶ,ほろ.ぼす",メツ,n1
礎,"cornerstone,foundation stone",いしずえ,ソ,n1
腐,"rot,decay,sour","くさ.る,-くさ.る,くさ.れる,くさ.れ,くさ.らす,くさ.す",フ,n1
脚,"skids,leg,undercarriage,lower part,base",あし,"キャク,キャ,カク",n1
尽,"exhaust,use up,run out of,deplete,befriend,serve","つ.きる,つ.くす,つ.かす,-づ.く,-ず.く,ことごと.く","ジン,サン",n1
僕,"me,I (male),servant,manservant",しもべ,ボク,n1
滑,"slippery,slide,slip,fail exam","すべ.る,なめ.らか","カツ,コツ",n1
孤,"orphan,alone","すべ.る,なめ.らか",コ,n1
炎,"inflammation,flame,blaze",ほのお,エン,n1
賠,"compensation,indemnify",ほのお,バイ,n1
頑,"stubborn,foolish,firmly",かたく,ガン,n1
鎖,"chain,irons,connection","くさり,とざ.す",サ,n1
彩,"coloring,paint,makeup",いろど.る,サイ,n1
寸,"measurement,tenth of a shaku,a little,small",いろど.る,スン,n1
摩,"chafe,rub,polish,grind,scrape","ま.する,さす.る,す.る",マ,n1
励,"encourage,be diligent,inspire","はげ.む,はげ.ます",レイ,n1
彦,"lad,boy (ancient)",ひこ,ゲン,n1
輝,"radiance,shine,sparkle,gleam,twinkle",かがや.く,キ,n1
蓄,"amass,raise,hoard,store",たくわ.える,チク,n1
軸,"axis,pivot,stem,stalk,counter for book scrolls",たくわ.える,ジク,n1
巡,"patrol,go around,circumference","めぐ.る,めぐ.り",ジュン,n1
稼,"earnings,work,earn money",かせ.ぐ,カ,n1
磁,"magnet,porcelain",かせ.ぐ,ジ,n1
瞬,"wink,blink,twinkle","またた.く,まじろ.ぐ",シュン,n1
阿,"Africa,flatter,fawn upon,corner,nook,recess","おもね.る,くま","ア,オ",n1
砲,"cannon,gun","おもね.る,くま",ホウ,n1
噴,"erupt,spout,emit,flush out",ふ.く,フン,n1
誇,"boast,be proud,pride,triumphantly",ほこ.る,コ,n1
祥,"auspicious,happiness,blessedness,good omen,good fortune","さいわ.い,きざ.し,よ.い,つまび.らか",ショウ,n1
牲,"animal sacrifice,offering","さいわ.い,きざ.し,よ.い,つまび.らか",セイ,n1
秩,"regularity,salary,order","さいわ.い,きざ.し,よ.い,つまび.らか",チツ,n1
帝,"sovereign,the emperor,god,creator",みかど,テイ,n1
唆,"tempt,seduce,instigate,promote","そそ.る,そそのか.す",サ,n1
阻,"thwart,separate from,prevent,obstruct,deter,impede",はば.む,ソ,n1
泰,"peaceful,calm,peace,easy,Thailand,extreme,excessive,great",はば.む,タイ,n1
賄,"bribe,board,supply,finance",まかな.う,ワイ,n1
撲,"slap,strike,hit,beat,tell,speak",まかな.う,ボク,n1
堀,"ditch,moat,canal",ほり,クツ,n1
菊,chrysanthemum,ほり,キク,n1
絞,"strangle,constrict,wring","しぼ.る,し.める,し.まる",コウ,n1
垂,"droop,suspend,hang,slouch","た.れる,た.らす,た.れ,-た.れ,なんなんと.す",スイ,n1
李,plum,すもも,リ,n1
縁,"affinity,relation,connection,edge,border,verge,brink","ふち,ふち.どる,ゆかり,よすが,へり,えにし","エン,-ネン",n1
唯,"solely,only,merely,simply",ただ,"ユイ,イ",n1
浩,"wide expanse,abundance,vigorous","おおき.い,ひろ.い",コウ,n1
膨,"swell,get fat,thick","ふく.らむ,ふく.れる",ボウ,n1
耐,"-proof,enduring",た.える,タイ,n1
塾,"cram school,private school",た.える,ジュク,n1
漏,"leak,escape,time","も.る,も.れる,も.らす",ロウ,n1
仮,"sham,temporary,interim,assumed (name),informal","かり,かり-","カ,ケ",n1
慶,"jubilation,congratulate,rejoice,be happy",よろこ.び,ケイ,n1
猛,"fierce,rave,rush,become furious,wildness,strength",よろこ.び,モウ,n1
芳,"perfume,balmy,favorable,fragrant",かんば.しい,ホウ,n1
懲,"penal,chastise,punish,discipline","こ.りる,こ.らす,こ.らしめる",チョウ,n1
剣,"sabre,sword,blade,clock hand",つるぎ,ケン,n1
穀,"cereals,grain",つるぎ,コク,n1
彰,"patent,clear",つるぎ,ショウ,n1
棋,"chess piece,Japanese chess,shogi",ご,キ,n1
恒,"constancy,always","つね,つねに",コウ,n1
揚,"raise,elevate,hoist,praise,extol,fry in deep fat","あ.げる,-あ.げ,あ.がる",ヨウ,n1
冒,"risk,face,defy,dare,damage,assume (a name)",おか.す,ボウ,n1
倫,"ethics,companion",おか.す,リン,n1
陳,"exhibit,state,relate,explain",ひ.ねる,チン,n1
憶,"recollection,think,remember",ひ.ねる,オク,n1
潜,"submerge,conceal,hide,lower (voice),hush","ひそ.む,もぐ.る,かく.れる,くぐ.る,ひそ.める",セン,n1
克,"overcome,kindly,skillfully",か.つ,コク,n1
岳,"point,peak,mountain",たけ,ガク,n1
概,"outline,condition,approximation,generally",おおむ.ね,ガイ,n1
拘,"arrest,seize,concerned,adhere to,despite",かか.わる,コウ,n1
黙,"silence,become silent,stop speaking,leave as is","だま.る,もだ.す","モク,ボク",n1
須,"ought,by all means,necessarily","すべから.く,すべし,ひげ,まつ,もち.いる,もと.める","ス,シュ",n1
偏,"partial,side,left-side radical,inclining,biased",かたよ.る,ヘン,n1
雰,"atmosphere,fog",かたよ.る,フン,n1
遇,"meet,encounter,interview,treat,entertain,receive,deal with",あ.う,グウ,n1
諮,consult with,はか.る,シ,n1
卓,"eminent,table,desk,high",はか.る,タク,n1
亀,"tortoise,turtle",かめ,"キ,キュウ,キン",n1
糧,"provisions,food,bread",かて,"リョウ,ロウ",n1
簿,"register,record book",かて,ボ,n1
炉,"hearth,furnace,kiln,reactor",いろり,ロ,n1
殊,"particularly,especially,exceptionally",こと,シュ,n1
殖,"augment,increase,multiply,raise","ふ.える,ふ.やす",ショク,n1
艦,warship,"ふ.える,ふ.やす",カン,n1
輩,"comrade,fellow,people,companions","-ばら,やから,やかい,ともがら",ハイ,n1
奇,"strange,strangeness,curiosity","く.しき,あや.しい,くし,めずら.しい",キ,n1
慢,"ridicule,laziness","く.しき,あや.しい,くし,めずら.しい",マン,n1
鶴,"crane,stork",つる,カク,n1
謀,"conspire,cheat,impose on,plan,devise,scheme,have in mind,deceive","はか.る,たばか.る,はかりごと","ボウ,ム",n1
拍,"clap,beat (music)","はか.る,たばか.る,はかりごと","ハク,ヒョウ",n1
寛,"tolerant,leniency,generosity,relax,feel at home,be at ease,broadminded","くつろ.ぐ,ひろ.い,ゆる.やか",カン,n1
覆,"capsize,cover,shade,mantle,be ruined","おお.う,くつがえ.す,くつがえ.る",フク,n1
胞,"placenta,sac,sheath","おお.う,くつがえ.す,くつがえ.る",ホウ,n1
泣,"cry,weep,moan",な.く,キュウ,n1
隔,"isolate,alternate,distance,separate,gulf","へだ.てる,へだ.たる",カク,n1
浄,"clean,purify,cleanse,exorcise,Manchu Dynasty","きよ.める,きよ.い","ジョウ,セイ",n1
没,"drown,sink,hide,fall into,disappear,die","おぼ.れる,しず.む,ない","ボツ,モツ",n1
暇,"spare time,rest,leisure,time,leave of absence","ひま,いとま",カ,n1
貞,"upright,chastity,constancy,righteousness","ただし.い,さだ","テイ,ジョウ",n1
鑑,"specimen,take warning from,learn from","かんが.みる,かがみ",カン,n1
陰,"shade,yin,negative,sex organs,secret,shadow","かげ,かげ.る",イン,n1
銘,"inscription,signature (of artisan)","かげ,かげ.る",メイ,n1
随,"follow,though,notwithstanding,while,during,both,all,obey,submit to,comply,at the mercy of (the waves)","まにま.に,したが.う",ズイ,n1
烈,"ardent,violent,vehement,furious,severe,extreme",はげ.しい,レツ,n1
尋,"inquire,fathom,look for","たず.ねる,ひろ",ジン,n1
稿,"draft,copy,manuscript,straw","わら,したがき",コウ,n1
丹,"rust-colored,red,red lead,pills,sincerity",に,タン,n1
啓,"disclose,open,say","ひら.く,さと.す",ケイ,n1
丘,"hill,knoll",おか,キュウ,n1
棟,"ridgepole,ridge","むね,むな-",トウ,n1
壌,"lot,earth,soil",つち,ジョウ,n1
漫,"cartoon,involuntarily,unrestrained,in spite of oneself,corrupt","みだり.に,そぞ.ろ",マン,n1
玄,"mysterious,occultness,black,deep,profound","くろ,くろ.い",ゲン,n1
粘,"sticky,glutinous,greasy,persevere",ねば.る,ネン,n1
悟,"enlightenment,perceive,discern,realize,understand",さと.る,ゴ,n1
舗,"shop,store,pave",さと.る,ホ,n1
妊,pregnancy,"はら.む,みごも.る","ニン,ジン",n1
騰,"leaping up,jumping up,rising,advancing,going","あが.る,のぼ.る",トウ,n1
遂,"consummate,accomplish,attain,commit (suicide)","と.げる,つい.に",スイ,n1
狂,"lunatic,insane,crazy,confuse","くる.う,くる.おしい,くるお.しい",キョウ,n1
緯,"horizontal,woof,left & right,(parallels of) latitude,prediction","よこいと,ぬき",イ,n1
培,"cultivate,foster",つちか.う,バイ,n1
衰,"decline,wane,weaken",おとろ.える,スイ,n1
艇,"rowboat,small boat",おとろ.える,テイ,n1
屈,"yield,bend,flinch,submit","かが.む,かが.める",クツ,n1
淡,"thin,faint,pale,fleeting",あわ.い,タン,n1
宏,"wide,large",ひろ.い,コウ,n1
絹,silk,きぬ,ケン,n1
抽,"pluck,pull,extract,excel",ひき-,チュウ,n1
披,"expose,open",ひき-,ヒ,n1
廷,"courts,imperial court,government office",ひき-,テイ,n1
錦,"brocade,fine dress,honors",にしき,キン,n1
准,"quasi-,semi-,associate",にしき,ジュン,n1
賃,"fare,fee,hire,rent,wages,charge",にしき,チン,n1
奨,"exhort,urge,encourage",すす.める,"ショウ,ソウ",n1
浸,"immersed,soak,dip,steep,moisten,wet,dunk","ひた.す,ひた.る,つ.かる",シン,n1
剰,"surplus,besides","あまつさえ,あま.り,あま.る",ジョウ,n1
胆,"gall bladder,courage,pluck,nerve",きも,タン,n1
繊,"slender,fine,thin kimono",きも,セン,n1
駒,"pony,horse,colt",こま,ク,n1
虚,"void,emptiness,unpreparedness,crack,fissure,untruth","むな.しい,うつ.ろ","キョ,コ",n1
尺,"shaku,Japanese foot,measure,scale,rule","むな.しい,うつ.ろ",シャク,n1
霊,"spirits,soul",たま,"レイ,リョウ",n1
悔,"repent,regret","く.いる,く.やむ,くや.しい",カイ,n1
諭,"rebuke,admonish,charge,warn,persuade",さと.す,ユ,n1
惨,"wretched,disaster,cruelty,harsh","みじ.め,いた.む,むご.い","サン,ザン",n1
虐,"tyrannize,oppress",しいた.げる,ギャク,n1
翻,"flip,turn over,wave,flutter,change (mind)","ひるがえ.る,ひるがえ.す","ホン,ハン",n1
墜,"crash,fall (down)","お.ちる,お.つ",ツイ,n1
沼,"marsh,lake,bog,swamp,pond",ぬま,ショウ,n1
据,"set,lay a foundation,install,equip,squat down,sit down","す.える,す.わる",キョ,n1
徐,"gradually,slowly,deliberately,gently",おもむ.ろに,ジョ,n1
搭,"board,load (a vehicle),ride",おもむ.ろに,トウ,n1
盾,"shield,escutcheon,pretext",たて,ジュン,n1
滝,"waterfall,rapids,cascade",たき,"ロウ,ソウ",n1
軌,"rut,wheel,track,model,way of doing",たき,キ,n1
妨,"disturb,prevent,hamper,obstruct",さまた.げる,ボウ,n1
之,"of,this","の,これ,ゆく,この",シ,n1
擦,"grate,rub,scratch,scrape,chafe,scour","す.る,す.れる,-ず.れ,こす.る,こす.れる",サツ,n1
鯨,whale,くじら,ゲイ,n1
荘,"villa,inn,cottage,feudal manor,solemn,dignified","ほうき,おごそ.か","ソウ,ショウ,チャン",n1
諾,"consent,assent,agreement","ほうき,おごそ.か",ダク,n1
雷,"thunder,lightning bolt","かみなり,いかずち,いかづち",ライ,n1
漂,"drift,float (on liquid)",ただよ.う,ヒョウ,n1
懐,"pocket,feelings,heart,yearn,miss someone,become attached to,bosom,breast","ふところ,なつ.かしい,なつ.かしむ,なつ.く,なつ.ける,なず.ける,いだ.く,おも.う","カイ,エ",n1
勘,"intuition,perception,check,compare,sixth sense","ふところ,なつ.かしい,なつ.かしむ,なつ.く,なつ.ける,なず.ける,いだ.く,おも.う",カン,n1
栽,"plantation,planting","ふところ,なつ.かしい,なつ.かしむ,なつ.く,なつ.ける,なず.ける,いだ.く,おも.う",サイ,n1
拐,"kidnap,falsify","ふところ,なつ.かしい,なつ.かしむ,なつ.く,なつ.ける,なず.ける,いだ.く,おも.う",カイ,n1
駄,"burdensome,pack horse,horse load,send by horse,trivial,worthless","ふところ,なつ.かしい,なつ.かしむ,なつ.く,なつ.ける,なず.ける,いだ.く,おも.う","ダ,タ",n1
添,"annexed,accompany,marry,suit,meet,satisfy,attach,append,garnish,imitate","そ.える,そ.う",テン,n1
冠,"crown,best,peerless",かんむり,カン,n1
斜,"diagonal,slanting,oblique","なな.め,はす",シャ,n1
宙,"mid-air,air,space,sky,memorization,interval of time","なな.め,はす",チュウ,n1
浪,"wandering,waves,billows,reckless,unrestrained","なな.め,はす",ロウ,n1
亜,"Asia,rank next,come after,-ous",つ.ぐ,ア,n1
詐,"lie,falsehood,deceive,pretend",いつわ.る,サ,n1
壇,"podium,stage,rostrum,terrace",いつわ.る,"ダン,タン",n1
勲,"meritorious deed,merit",いさお,クン,n1
魔,"witch,demon,evil spirit",いさお,マ,n1
酬,"repay,reward,retribution",むく.いる,"シュウ,シュ,トウ",n1
紫,"purple,violet",むらさき,シ,n1
紋,"family crest,figures",むらさき,モン,n1
卸,wholesale,"おろ.す,おろし,おろ.し",シャ,n1
欄,"column,handrail,blank,space",てすり,ラン,n1
操,"maneuver,manipulate,operate,steer,chastity,virginity,fidelity","みさお,あやつ.る","ソウ,サン",n1
逸,"deviate,idleness,leisure,miss the mark,evade,elude,parry,diverge","そ.れる,そ.らす,はぐ.れる",イツ,n1
涯,"horizon,shore,limit,bound",はて,ガイ,n1
拓,"clear (the land),open,break up (land)",ひら.く,タク,n1
獄,"prison,jail",ひら.く,ゴク,n1
尚,"esteem,furthermore,still,yet",なお,ショウ,n1
彫,"carve,engrave,chisel","ほ.る,-ぼ.り",チョウ,n1
穏,"calm,quiet,moderation",おだ.やか,オン,n1
顕,"appear,existing","あきらか,あらわ.れる",ケン,n1
巧,"adroit,skilled,ingenuity","たく.み,たく.む,うま.い",コウ,n1
矛,"halberd,arms,festival float",ほこ,"ム,ボウ",n1
垣,"hedge,fence,wall",かき,エン,n1
欺,"deceit,cheat,delude",あざむ.く,ギ,n1
釣,"angling,fish,catch,allure,ensnare","つ.る,つ.り,つ.り-",チョウ,n1
昌,"prosperous,bright,clear",さかん,ショウ,n1
粛,"solemn,quietly,softly",つつし.む,"シュク,スク",n1
愚,"foolish,folly,absurdity,stupid",おろ.か,グ,n1
遭,"encounter,meet,party,association,interview,join","あ.う,あ.わせる",ソウ,n1
架,"erect,frame,mount,support,shelf,construct","か.ける,か.かる",カ,n1
鬼,"ghost,devil","おに,おに-",キ,n1
庶,"commoner,all,bastard","おに,おに-",ショ,n1
稚,"immature,young","いとけない,おさない,おくて,おでる","チ,ジ",n1
靖,peaceful,やす.んじる,"セイ,ジョウ",n1
幻,"phantasm,vision,dream,illusion,apparition",まぼろし,ゲン,n1
煮,"boil,cook","に.る,-に,に.える,に.やす",シャ,n1
姫,princess,"ひめ,ひめ-",キ,n1
誓,"vow,swear,pledge",ちか.う,セイ,n1
把,"grasp,faggot,bunch,counter for bundles",ちか.う,"ハ,ワ",n1
践,"tread,step on,trample,practice,carry through",ふ.む,セン,n1
呈,"display,offer,present,send,exhibit",ふ.む,テイ,n1
疎,"alienate,rough,neglect,shun,sparse,penetrate","うと.い,うと.む,まば.ら","ソ,ショ",n1
仰,"face-up,look up,depend,seek,respect,revere,drink,take","あお.ぐ,おお.せ,お.っしゃる,おっしゃ.る","ギョウ,コウ",n1
剛,"sturdy,strength","あお.ぐ,おお.せ,お.っしゃる,おっしゃ.る",ゴウ,n1
疾,rapidly,はや.い,シツ,n1
征,"subjugate,attack the rebellious,collect taxes",はや.い,セイ,n1
砕,"smash,break,crush,familiar,popular","くだ.く,くだ.ける",サイ,n1
也,to be (classical),"なり,か,また","ヤ,エ",n1
謡,"song,sing,ballad,noh chanting","うた.い,うた.う",ヨウ,n1
嫁,"marry into,bride","よめ,とつ.ぐ,い.く,ゆ.く",カ,n1
謙,"self-effacing,humble oneself,condescend,be modest",へりくだ.る,ケン,n1
嘆,"sigh,lament,moan,grieve,sigh of admiration","なげ.く,なげ.かわしい",タン,n1
菌,"germ,fungus,bacteria","なげ.く,なげ.かわしい",キン,n1
鎌,"sickle,scythe,trick",かま,"レン,ケン",n1
看,"watch over,see",み.る,カン,n1
頻,"repeatedly,recur",しき.りに,ヒン,n1
琴,"harp,koto",こと,"キン,ゴン",n1
棚,"shelf,ledge,rack,mount,mantle,trellis","たな,-だな",ホウ,n1
旭,"rising sun,morning sun",あさひ,キョク,n1
酷,"cruel,severe,atrocious,unjust",ひど.い,コク,n1
宰,"superintend,manager,rule",ひど.い,サイ,n1
廊,"corridor,hall,tower",ひど.い,ロウ,n1
寂,"loneliness,quietly,mellow,mature,death of a priest","さび,さび.しい,さび.れる,さみ.しい","ジャク,セキ",n1
伏,"prostrated,bend down,bow,cover,lay (pipes)","ふ.せる,ふ.す",フク,n1
碁,Go,"ふ.せる,ふ.す",ゴ,n1
俗,"vulgar,customs,manners,worldliness,mundane things","ふ.せる,ふ.す",ゾク,n1
漠,"vague,obscure,desert,wide","ふ.せる,ふ.す",バク,n1
邪,"wicked,injustice,wrong",よこし.ま,ジャ,n1
晶,"sparkle,clear,crystal",よこし.ま,ショウ,n1
墨,"black ink,India ink,ink stick,Mexico",すみ,ボク,n1
鎮,"tranquilize,ancient peace-preservation centers","しず.める,しず.まる,おさえ",チン,n1
洞,"den,cave,excavation",ほら,ドウ,n1
履,"perform,complete,footgear,shoes,boots,put on (the feet)",は.く,リ,n1
劣,"inferiority,be inferior to,be worse",おと.る,レツ,n1
那,what?,"なに,なんぞ,いかん","ナ,ダ",n1
殴,"assault,hit,beat,thrash",なぐ.る,オウ,n1
暑,"sultry,hot,summer heat",あつ.い,ショ,n1
娠,"with child,pregnancy",あつ.い,シン,n1
奉,"observance,offer,present,dedicate","たてまつ.る,まつ.る,ほう.ずる","ホウ,ブ",n1
磯,"seashore,beach",いそ,キ,n1
憂,"melancholy,grieve,lament,be anxious,sad,unhappy","うれ.える,うれ.い,う.い,う.き",ユウ,n1
朴,"crude,simple,plain,docile","ほう,ほお,えのき",ボク,n1
亭,"pavilion,restaurant,mansion,arbor,cottage,vaudeville,music hall,stage name","ほう,ほお,えのき","テイ,チン",n1
怪,"suspicious,mystery,apparition","あや.しい,あや.しむ","カイ,ケ",n1
酔,"drunk,feel sick,poisoned,elated,spellbound","よ.う,よ.い,よ",スイ,n1
惜,"pity,be sparing of,frugal,stingy,regret","お.しい,お.しむ",セキ,n1
穫,"harvest,reap","お.しい,お.しむ",カク,n1
佳,"excellent,beautiful,good,pleasing,skilled","お.しい,お.しむ",カ,n1
潤,"wet,be watered,profit by,receive benefits,favor,charm,steep","うるお.う,うるお.す,うる.む",ジュン,n1
悼,"lament,grieve over",いた.む,トウ,n1
乏,"destitution,scarce,limited","とぼ.しい,とも.しい",ボウ,n1
該,"above-stated,the said,that specific","とぼ.しい,とも.しい",ガイ,n1
赴,"proceed,get,become,tend",おもむ.く,フ,n1
桑,mulberry,くわ,ソウ,n1
髄,"marrow,pith,essence",くわ,ズイ,n1
虎,"tiger,drunkard",とら,コ,n1
盆,"basin,lantern festival,tray",とら,ボン,n1
穂,"ear,ear (grain),head,crest (wave)",ほ,スイ,n1
壮,"robust,manhood,prosperity",さかん,ソウ,n1
堤,"dike,bank,embankment",つつみ,テイ,n1
飢,"hungry,starve",う.える,キ,n1
傍,"bystander,side,besides,while,nearby,third person","かたわ.ら,わき,おか-,はた,そば",ボウ,n1
疫,epidemic,"かたわ.ら,わき,おか-,はた,そば","エキ,ヤク",n1
累,"accumulate,involvement,trouble,tie up,continually","かたわ.ら,わき,おか-,はた,そば",ルイ,n1
痴,"stupid,foolish","し.れる,おろか",チ,n1
搬,"conveyor,carry,transport","し.れる,おろか",ハン,n1
癒,"healing,cure,quench (thirst),wreak","い.える,いや.す,い.やす",ユ,n1
郭,"enclosure,quarters,fortification,red-light district",くるわ,カク,n1
尿,urine,"ゆばり,いばり,しと",ニョウ,n1
凶,"villain,evil,bad luck,disaster","ゆばり,いばり,しと",キョウ,n1
吐,"spit,vomit,belch,confess,tell (lies)","は.く,つ.く",ト,n1
宴,"banquet,feast,party",うたげ,エン,n1
賓,"V.I.P.,guest",うたげ,ヒン,n1
虜,"captive,barbarian,low epithet for the enemy","とりこ,とりく","リョ,ロ",n1
陶,"pottery,porcelain",すえ,トウ,n1
鐘,"bell,gong,chimes",かね,ショウ,n1
憾,"remorse,regret,be sorry",うら.む,カン,n1
弥,"all the more,increasingly","や,いや,いよ.いよ,わた.る","ミ,ビ",n1
昆,"descendants,elder brother,insect","や,いや,いよ.いよ,わた.る",コン,n1
粗,"coarse,rough,rugged","あら.い,あら-",ソ,n1
訂,"revise,correct,decide",ただ.す,テイ,n1
傘,umbrella,かさ,サン,n1
聡,"wise,fast learner","さと.い,みみざと.い",ソウ,n1
騎,"equestrian,riding on horses,counter for equestrians","さと.い,みみざと.い",キ,n1
寧,"rather,preferably,peaceful,quiet,tranquility",むし.ろ,ネイ,n1
循,"sequential,follow",むし.ろ,ジュン,n1
忍,"endure,bear,put up with,conceal,secrete,spy,sneak","しの.ぶ,しの.ばせる",ニン,n1
怠,"neglect,laziness","おこた.る,なま.ける",タイ,n1
蚕,silkworm,"かいこ,こ","サン,テン",n1
如,"likeness,like,such as,as if,better,best,equal",ごと.し,"ジョ,ニョ",n1
寮,"dormitory,hostel,villa,tea pavillion",ごと.し,リョウ,n1
曙,"dawn,daybreak",あけぼの,ショ,n1
鉛,lead,なまり,エン,n1
珠,"pearl,gem,jewel",たま,シュ,n1
凝,"congeal,freeze,stiff,be absorbed in","こ.る,こ.らす,こご.らす,こご.らせる,こご.る",ギョウ,n1
苗,"seedling,sapling,shoot","なえ,なわ-","ビョウ,ミョウ",n1
獣,"animal,beast","けもの,けだもの",ジュウ,n1
哀,"pathetic,grief,sorrow,pathos,pity,sympathize","あわ.れ,あわ.れむ,かな.しい",アイ,n1
跳,"hop,leap up,spring,jerk,prance,buck,splash,sputter,snap","は.ねる,と.ぶ,-と.び",チョウ,n1
匠,"artisan,workman,carpenter",たくみ,ショウ,n1
蛇,"snake,serpent,hard drinker",へび,"ジャ,ダ,イ,ヤ",n1
澄,"lucidity,be clear,clear,clarify,settle,strain,look grave","す.む,す.ます,-す.ます",チョウ,n1
縫,"sew,stitch,embroider",ぬ.う,ホウ,n1
僧,"Buddhist priest,monk",ぬ.う,ソウ,n1
眺,"stare,watch,look at,see,scrutinize",なが.める,チョウ,n1
呉,"give,do something for,kingdom of Wu","く.れる,くれ",ゴ,n1
凡,"commonplace,ordinary,mediocre","およ.そ,おうよ.そ,すべ.て","ボン,ハン",n1
憩,"recess,rest,relax,repose","いこ.い,いこ.う",ケイ,n1
溝,"gutter,ditch,sewer,drain,10**32",みぞ,コウ,n1
萩,bush clover,はぎ,シュウ,n1
恭,"respect,reverent",うやうや.しい,キョウ,n1
刈,"reap,cut,clip,trim,prune",か.る,"ガイ,カイ",n1
睡,"drowsy,sleep,die","ねむ.る,ねむ.い",スイ,n1
錯,"confused,mix,be in disorder","ねむ.る,ねむ.い","サク,シャク",n1
伯,"chief,count,earl,uncle,Brazil","ねむ.る,ねむ.い",ハク,n1
栗,chestnut,"くり,おののく","リツ,リ",n1
陵,"mausoleum,imperial tomb,mound,hill",みささぎ,リョウ,n1
霧,"fog,mist",きり,"ム,ボウ,ブ",n1
嘉,"applaud,praise,esteem,happy,auspicious","よみ.する,よい",カ,n1
魂,"soul,spirit","たましい,たま",コン,n1
弊,"abuse,evil,vice,breakage","たましい,たま",ヘイ,n1
妃,"queen,princess",きさき,ヒ,n1
舶,"liner,ship",きさき,ハク,n1
餓,"starve,hungry,thirst",う.える,ガ,n1
窮,"hard up,destitute,suffer,perplexed,cornered","きわ.める,きわ.まる,きわ.まり,きわ.み","キュウ,キョウ",n1
掌,"manipulate,rule,administer,conduct,palm of hand","てのひら,たなごころ",ショウ,n1
麗,"lovely,beautiful,graceful,resplendent","うるわ.しい,うら.らか",レイ,n1
臭,"stinking,ill-smelling,suspicious looking,odor,savor,fragrance,be fragrant,stink,glow,be bright","くさ.い,-くさ.い,にお.う,にお.い",シュウ,n1
悦,"ecstasy,joy,rapture","よろこ.ぶ,よろこ.ばす",エツ,n1
刃,"blade,sword,edge","は,やいば,き.る","ジン,ニン",n1
縛,"truss,arrest,bind,tie,restrain",しば.る,バク,n1
暦,"calendar,almanac",こよみ,"レキ,リャク",n1
宜,"best regards,good","よろ.しい,よろ.しく",ギ,n1
盲,"blind,blind man,ignoramus",めくら,モウ,n1
粋,"chic,style,purity,essence,pith,cream,elite,choice",いき,スイ,n1
辱,"embarrass,humiliate,shame",はずかし.める,ジョク,n1
轄,"control,wedge",くさび,カツ,n1
猿,monkey,さる,エン,n1
弦,"bowstring,chord,hypotenuse",つる,ゲン,n1
窒,"plug up,obstruct",つる,チツ,n1
炊,"cook,boil","た.く,-だ.き",スイ,n1
洪,"deluge,flood,vast","た.く,-だ.き",コウ,n1
摂,"vicarious,surrogate,act in addition to,take in,absorb","おさ.める,かね.る,と.る","セツ,ショウ",n1
飽,"sated,tired of,bored,satiate","あ.きる,あ.かす,あ.く",ホウ,n1
冗,"superfluous,uselessness","あ.きる,あ.かす,あ.く",ジョウ,n1
桃,peach,もも,トウ,n1
狩,"hunt,raid,gather","か.る,か.り,-が.り",シュ,n1
朱,"vermilion,cinnabar,scarlet,red,bloody",あけ,シュ,n1
渦,"whirlpool,eddy,vortex",うず,カ,n1
紳,"sire,good belt,gentleman",うず,シン,n1
枢,"hinge,pivot,door","とぼそ,からくり","スウ,シュ",n1
碑,"tombstone,monument",いしぶみ,ヒ,n1
鍛,"forge,discipline,train",きた.える,タン,n1
鼓,"drum,beat,rouse,muster",つづみ,コ,n1
裸,"naked,nude,uncovered,partially clothed",はだか,ラ,n1
猶,"furthermore,still,yet",なお,"ユウ,ユ",n1
塊,"clod,lump,chunk,clot,mass","かたまり,つちくれ","カイ,ケ",n1
辰,"sign of the dragon,7-9AM,fifth sign of Chinese zodiac,shin dragon radical (no. 161)",たつ,"シン,ジン",n1
旋,"rotation,go around","め.ぐる,いばり",セン,n1
幣,"cash,bad habit,humble prefix,gift,Shinto offerings of cloth,rope,cut paper",ぬさ,ヘイ,n1
霞,"be hazy,grow dim,blurred","かすみ,かす.む","カ,ゲ",n1
膜,membrane,"かすみ,かす.む",マク,n1
扇,"fan,folding fan",おうぎ,セン,n1
槽,"vat,tub,tank",ふね,ソウ,n1
